
n = 8
m = 8    e = 8760   g = 1191143  k = 1193423

m = 9    e = 4829   g = 666556  k = 681500

m = 10    e = 3862   g = 371079  k = 425421

m = 11    e = 3020   g = 187088  k = 306326

m = 12    e = 2255   g = 91081  k = 273081

m = 13    e = 1992   g = 45833  k = 303822

m = 14    e = 2111   g = 18319  k = 301961

m = 15    e = 2839   g = 9854  k = 299414

m = 16    e = 1679   g = 3997  k = 274435

m = 17    e = 1741   g = 1250  k = 229101

m = 18    e = 1339   g = 316  k = 224317

m = 19    e = 1480   g = 101  k = 193546

m = 20    e = 1104   g = 29  k = 149356

m = 21    e = 766   g = 7  k = 104871

m = 22    e = 630   g = 0  k = 93423

m = 23    e = 674   g = 0  k = 67339

m = 24    e = 290   g = 0  k = 52596

m = 25    e = 0   g = 0  k = 35368

m = 26    e = 0   g = 0  k = 25606

m = 27    e = 0   g = 0  k = 23206

m = 28    e = 0   g = 0  k = 20564

n = 9
m = 9    e = 5762   g = 1005491  k = 1005718

m = 10    e = 1904   g = 565567  k = 569417

m = 11    e = 1469   g = 275725  k = 287700

m = 12    e = 2029   g = 201391  k = 237046

m = 13    e = 840   g = 113057  k = 182133

m = 14    e = 596   g = 63537  k = 163357

m = 15    e = 503   g = 29546  k = 150219

m = 16    e = 590   g = 15474  k = 141614

m = 17    e = 784   g = 8610  k = 133875

m = 18    e = 486   g = 4141  k = 126822

m = 19    e = 283   g = 2780  k = 111282

m = 20    e = 596   g = 1147  k = 97731

m = 21    e = 454   g = 710  k = 80433

m = 22    e = 166   g = 347  k = 58316

m = 23    e = 105   g = 101  k = 60537

m = 24    e = 255   g = 53  k = 56306

m = 25    e = 223   g = 17  k = 46816

m = 26    e = 69   g = 10  k = 33134

m = 27    e = 122   g = 5  k = 28480

m = 28    e = 63   g = 1  k = 20392

m = 29    e = 49   g = 0  k = 14606

m = 30    e = 35   g = 0  k = 10978

m = 31    e = 36   g = 0  k = 8610

m = 32    e = 48   g = 0  k = 6808

m = 33    e = 74   g = 0  k = 5206

m = 34    e = 0   g = 0  k = 4292

m = 35    e = 0   g = 0  k = 3088

m = 36    e = 2724   g = 0  k = 2724

n = 10
m = 10    e = 2775   g = 817272  k = 817272

m = 11    e = 527   g = 439863  k = 440581

m = 12    e = 1373   g = 339960  k = 343507

m = 13    e = 684   g = 193211  k = 203412

m = 14    e = 203   g = 105138  k = 123703

m = 15    e = 118   g = 71736  k = 105676

m = 16    e = 274   g = 38366  k = 81165

m = 17    e = 84   g = 20485  k = 64602

m = 18    e = 47   g = 9715  k = 54861

m = 19    e = 47   g = 7419  k = 45219

m = 20    e = 30   g = 3706  k = 31304

m = 21    e = 64   g = 1250  k = 25998

m = 22    e = 35   g = 1393  k = 30167

m = 23    e = 26   g = 562  k = 25171

m = 24    e = 15   g = 460  k = 22158

m = 25    e = 14   g = 278  k = 14428

m = 26    e = 19   g = 273  k = 16628

m = 27    e = 9   g = 57  k = 14731

m = 28    e = 18   g = 32  k = 13097

m = 29    e = 6   g = 22  k = 7698

m = 30    e = 22   g = 8  k = 9198

m = 31    e = 7   g = 3  k = 7679

m = 32    e = 6   g = 2  k = 5634

m = 33    e = 5   g = 0  k = 3858

m = 34    e = 3   g = 0  k = 2694

m = 35    e = 4   g = 0  k = 2364

m = 36    e = 2   g = 0  k = 1654

m = 37    e = 12   g = 0  k = 1343

m = 38    e = 1   g = 0  k = 1139

m = 39    e = 2   g = 0  k = 943

m = 40    e = 0   g = 0  k = 693

m = 41    e = 0   g = 0  k = 682

m = 42    e = 0   g = 0  k = 586

m = 43    e = 0   g = 0  k = 479

m = 44    e = 0   g = 0  k = 385

m = 45    e = 0   g = 0  k = 349
