Id,SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
1,1,0.766126609,45,2,0.802982129,9120,13,0,6,0,2
2,0,0.957151019,40,0,0.121876201,2600,4,0,0,0,1
3,0,0.65818014,38,1,0.085113375,3042,2,1,0,0,0
4,0,0.233809776,30,0,0.036049682,3300,5,0,0,0,0
5,0,0.9072394,49,1,0.024925695,63588,7,0,1,0,0
6,0,0.213178682,74,0,0.375606969,3500,3,0,1,0,1
7,0,0.305682465,57,0,5710,NA,8,0,3,0,0
8,0,0.754463648,39,0,0.209940017,3500,8,0,0,0,0
9,0,0.116950644,27,0,46,NA,2,0,0,0,NA
10,0,0.189169052,57,0,0.606290901,23684,9,0,4,0,2
11,0,0.644225962,30,0,0.30947621,2500,5,0,0,0,0
12,0,0.01879812,51,0,0.53152876,6501,7,0,2,0,2
13,0,0.010351857,46,0,0.298354075,12454,13,0,2,0,2
14,1,0.964672555,40,3,0.382964747,13700,9,3,1,1,2
15,0,0.019656581,76,0,477,0,6,0,1,0,0
16,0,0.548458062,64,0,0.209891754,11362,7,0,1,0,2
17,0,0.061086118,78,0,2058,NA,10,0,2,0,0
18,0,0.166284079,53,0,0.18827406,8800,7,0,0,0,0
19,0,0.221812771,43,0,0.527887839,3280,7,0,1,0,2
20,0,0.602794411,25,0,0.065868263,333,2,0,0,0,0
21,0,0.200923382,43,0,0.430046338,12300,10,0,2,0,0
22,1,0.025655677,38,0,0.475841386,3000,7,0,1,0,2
23,0,0.9999999,39,0,0.241103559,2500,4,0,0,0,0
24,0,0.075426584,32,0,0.085512189,7916,6,0,0,0,0
25,0,0.04656027,58,0,0.241621845,2416,9,0,1,0,0
26,1,0.392248482,50,0,1.595253368,4676,14,0,3,0,1
27,0,0.052436094,58,0,0.097672186,8333,22,0,1,0,0
28,0,0.034421473,69,0,0.042383047,2500,17,0,0,0,1
29,0,0.452515828,24,0,0.011761247,3400,1,0,0,0,0
30,0,0.392994586,58,2,0.436102527,5500,15,0,1,0,0
31,0,0.704073982,28,1,0.155201143,4200,8,0,0,0,0
32,0,0.9999999,24,0,0.472703063,750,1,0,0,0,0
33,0,0.083418009,62,0,977,NA,6,0,1,0,0
34,0,0.186868556,57,0,0.313812313,7000,9,0,2,0,0
35,0,0.693329681,42,2,0.257731959,2230,7,0,0,0,0
36,0,0,64,0,0.073538769,11000,9,0,1,0,0
37,0,0.881836362,50,3,0.567858035,4000,9,0,1,0,1
38,0,0.9999999,75,1,0.134078212,3400,1,0,1,0,1
39,0,0.363636364,26,0,0.00999001,1000,1,0,0,0,0
40,0,0.304490668,52,0,0.808340474,3500,10,0,2,0,0
41,0,0.71998531,41,1,0.539554464,5700,14,0,1,0,0
42,0,0.07289757,81,0,75,NA,7,0,0,0,0
43,0,0.469056842,31,0,0.048211004,9250,4,0,0,0,1
44,0,0.718705378,28,0,0.170125614,3661,4,0,0,0,1
45,0,0.368875933,68,0,1687.5,1,31,0,1,0,0
46,0,0.000602723,70,0,0.177787036,16800,12,0,1,0,2
47,0,0.061440132,62,0,0.011167837,3133,2,0,0,0,0
48,0,0.140110634,31,0,0.689370485,1937,4,0,2,0,0
49,0,0.834048027,38,0,0.393662026,13000,13,0,2,0,2
50,0,7.96E-05,70,0,0.256339661,6900,21,1,1,0,0
